PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
202,Mazda,Male,Single,34,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,4,1,6 years,31 to 35,External,no change,Collision
203,Honda,Male,Single,16,Sedan - Collision,Sedan,"more than 69,000",14,400,3,2 to 4,new,16 to 17,External,no change,Collision
204,Honda,Male,Married,41,Sedan - Liability,Sport,"30,000 to 39,000",6,400,4,none,7 years,36 to 40,External,no change,Liability
205,Pontiac,Male,Married,41,Sedan - All Perils,Sedan,"less than 20,000",16,500,3,2 to 4,7 years,36 to 40,External,2 to 3 years,All Perils
206,Pontiac,Male,Married,64,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,3,1,more than 7,51 to 65,External,no change,Collision
207,Pontiac,Male,Married,27,Sedan - Collision,Sedan,"more than 69,000",11,400,4,2 to 4,4 years,31 to 35,External,no change,Collision
208,Mazda,Male,Single,25,Sedan - Collision,Sedan,"more than 69,000",5,400,4,2 to 4,5 years,26 to 30,External,no change,Collision
209,Toyota,Male,Single,21,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,2,1,5 years,26 to 30,External,no change,Collision
210,Pontiac,Male,Married,31,Sedan - All Perils,Sedan,"less than 20,000",16,400,2,none,6 years,31 to 35,External,no change,All Perils
211,Pontiac,Male,Single,39,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,1,none,more than 7,36 to 40,External,4 to 8 years,Collision
212,Honda,Female,Married,37,Sedan - All Perils,Sedan,"less than 20,000",1,400,1,none,5 years,36 to 40,External,no change,All Perils
213,Accura,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,4,more than 4,7 years,36 to 40,External,no change,Collision
214,Pontiac,Male,Married,37,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,4,none,7 years,36 to 40,External,no change,All Perils
215,Mazda,Male,Married,28,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,1,2 to 4,7 years,31 to 35,External,no change,Collision
216,Chevrolet,Male,Married,57,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,1,none,more than 7,51 to 65,External,no change,Collision
217,Toyota,Male,Married,61,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,2,none,more than 7,51 to 65,External,no change,Collision
218,Mazda,Male,Married,69,Sedan - Liability,Sport,"20,000 to 29,000",3,700,4,more than 4,more than 7,over 65,External,no change,Liability
219,Honda,Male,Married,67,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,1,1,more than 7,over 65,External,no change,Collision
220,Chevrolet,Male,Married,52,Sedan - All Perils,Sedan,"more than 69,000",1,400,4,1,more than 7,41 to 50,External,no change,All Perils
221,Toyota,Male,Single,23,Sedan - Liability,Sport,"20,000 to 29,000",15,400,1,2 to 4,6 years,26 to 30,External,no change,Liability
222,Pontiac,Male,Married,38,Sedan - Liability,Sport,"less than 20,000",2,400,4,more than 4,7 years,36 to 40,External,no change,Liability
223,Toyota,Male,Married,32,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,4,2 to 4,7 years,31 to 35,External,no change,Collision
224,Honda,Male,Married,26,Sedan - Liability,Sport,"20,000 to 29,000",9,400,2,more than 4,6 years,31 to 35,External,no change,Liability
225,Toyota,Male,Married,57,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,1,2 to 4,more than 7,51 to 65,External,no change,All Perils
226,Pontiac,Male,Married,29,Sedan - Liability,Sport,"more than 69,000",2,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
227,Saab,Male,Married,26,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,2,none,7 years,31 to 35,External,no change,Collision
228,VW,Female,Single,30,Sedan - Collision,Sedan,"more than 69,000",14,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
229,Pontiac,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,2,1,7 years,36 to 40,External,no change,Collision
230,Pontiac,Male,Married,65,Sedan - Liability,Sport,"more than 69,000",14,400,4,more than 4,7 years,51 to 65,External,no change,Liability
231,Pontiac,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,1,none,6 years,31 to 35,External,no change,Collision
232,Mazda,Male,Married,44,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,2,2 to 4,6 years,36 to 40,External,4 to 8 years,All Perils
233,Chevrolet,Male,Married,26,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,2,2 to 4,7 years,31 to 35,External,no change,Collision
234,VW,Male,Married,32,Sedan - Collision,Sedan,"more than 69,000",5,400,2,none,6 years,31 to 35,External,no change,Collision
235,Mercury,Male,Married,29,Sedan - All Perils,Sedan,"less than 20,000",16,400,3,none,6 years,31 to 35,External,no change,All Perils
236,Chevrolet,Male,Married,26,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,4,none,6 years,31 to 35,External,no change,All Perils
237,Pontiac,Female,Single,37,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,4,2 to 4,7 years,36 to 40,External,no change,Collision
238,Pontiac,Male,Married,33,Sedan - Liability,Sport,"20,000 to 29,000",11,400,1,1,6 years,31 to 35,External,no change,Liability
239,Pontiac,Male,Married,54,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,2,none,more than 7,41 to 50,External,no change,All Perils
240,Mazda,Male,Single,26,Sedan - Liability,Sport,"30,000 to 39,000",5,400,4,more than 4,7 years,31 to 35,External,no change,Liability
241,Chevrolet,Male,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
242,Mazda,Female,Single,25,Sedan - Liability,Sport,"20,000 to 29,000",1,400,3,2 to 4,4 years,26 to 30,External,under 6 months,Liability
243,Mazda,Female,Single,23,Sedan - Liability,Sport,"20,000 to 29,000",12,400,3,more than 4,5 years,26 to 30,External,no change,Liability
244,Honda,Male,Single,16,Sedan - Collision,Sedan,"more than 69,000",7,400,1,none,new,16 to 17,External,no change,Collision
245,Pontiac,Male,Single,31,Sedan - Collision,Sedan,"less than 20,000",9,400,1,1,6 years,31 to 35,External,no change,Collision
246,Honda,Male,Single,16,Sedan - Collision,Sedan,"more than 69,000",3,400,4,none,new,16 to 17,External,no change,Collision
247,Ford,Male,Married,42,Sedan - All Perils,Sedan,"less than 20,000",14,400,4,1,7 years,36 to 40,External,no change,All Perils
248,Accura,Male,Married,42,Sedan - Liability,Sport,"30,000 to 39,000",11,400,2,2 to 4,7 years,36 to 40,External,no change,Liability
249,Toyota,Male,Single,32,Sedan - Collision,Sedan,"20,000 to 29,000",16,700,2,1,7 years,31 to 35,External,no change,Collision
250,Accura,Male,Married,51,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
251,Honda,Male,Single,19,Sport - Collision,Sport,"more than 69,000",12,400,4,2 to 4,3 years,21 to 25,External,no change,Collision
252,Pontiac,Male,Married,26,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,1,2 to 4,7 years,31 to 35,External,no change,All Perils
253,Pontiac,Male,Single,29,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,2,1,5 years,31 to 35,External,4 to 8 years,Collision
254,Pontiac,Male,Married,29,Sedan - Liability,Sport,"30,000 to 39,000",15,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
255,Mazda,Male,Married,29,Sport - Collision,Sport,"more than 69,000",12,400,2,2 to 4,7 years,31 to 35,External,no change,Collision
256,Pontiac,Male,Single,44,Sedan - Liability,Sport,"20,000 to 29,000",9,500,2,1,more than 7,36 to 40,External,2 to 3 years,Liability
257,VW,Male,Married,49,Sedan - Collision,Sedan,"more than 69,000",5,400,3,1,more than 7,41 to 50,External,no change,Collision
258,Toyota,Female,Married,47,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,1,2 to 4,7 years,41 to 50,External,no change,Collision
259,Mazda,Male,Married,50,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,3,1,7 years,41 to 50,External,no change,Collision
260,Pontiac,Male,Married,50,Sedan - Liability,Sport,"30,000 to 39,000",10,400,2,2 to 4,more than 7,41 to 50,External,no change,Liability
261,Pontiac,Male,Married,44,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,2,none,more than 7,36 to 40,External,no change,Collision
262,Accura,Male,Married,42,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,4,none,7 years,36 to 40,External,no change,All Perils
263,Pontiac,Male,Married,49,Sedan - Collision,Sedan,"30,000 to 39,000",3,400,1,1,more than 7,41 to 50,External,no change,Collision
264,Toyota,Male,Married,34,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,4,2 to 4,6 years,31 to 35,External,no change,Collision
265,Pontiac,Female,Married,51,Sedan - Liability,Sport,"20,000 to 29,000",16,400,2,1,7 years,41 to 50,External,no change,Liability
266,VW,Male,Married,26,Sedan - Collision,Sedan,"more than 69,000",5,400,2,1,5 years,31 to 35,External,no change,Collision
267,Pontiac,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",4,400,3,2 to 4,7 years,36 to 40,External,no change,Liability
268,Chevrolet,Female,Married,30,Sedan - All Perils,Sedan,"more than 69,000",3,400,2,1,6 years,31 to 35,External,no change,All Perils
269,Honda,Male,Single,17,Sedan - All Perils,Sedan,"more than 69,000",5,400,3,1,new,16 to 17,External,no change,All Perils
270,Honda,Male,Married,47,Sedan - Liability,Sport,"20,000 to 29,000",9,400,3,1,more than 7,41 to 50,External,no change,Liability
271,Chevrolet,Female,Married,33,Sedan - Liability,Sport,"20,000 to 29,000",2,400,3,2 to 4,3 years,31 to 35,External,no change,Liability
272,Pontiac,Male,Single,31,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,4,none,6 years,31 to 35,External,no change,Collision
273,Toyota,Male,Married,50,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,4,none,more than 7,41 to 50,External,no change,Collision
274,Chevrolet,Male,Married,78,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,1,1,more than 7,over 65,External,1 year,Collision
275,Honda,Male,Married,41,Sedan - Liability,Sport,"30,000 to 39,000",9,400,3,none,7 years,36 to 40,External,no change,Liability
276,Honda,Male,Single,39,Sport - Collision,Sport,"more than 69,000",11,400,4,none,7 years,36 to 40,External,no change,Collision
277,Toyota,Male,Married,33,Sedan - All Perils,Sedan,"less than 20,000",10,400,2,1,7 years,31 to 35,External,no change,All Perils
278,Honda,Male,Single,16,Sedan - Liability,Sport,"more than 69,000",16,400,2,2 to 4,new,16 to 17,External,no change,Liability
279,Pontiac,Female,Married,48,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,4,2 to 4,7 years,41 to 50,External,no change,All Perils
280,Honda,Male,Single,17,Sedan - Liability,Sport,"more than 69,000",12,400,4,1,new,16 to 17,External,no change,Liability
281,Honda,Male,Single,17,Sedan - All Perils,Sedan,"more than 69,000",11,400,4,none,new,16 to 17,External,no change,All Perils
282,Pontiac,Male,Married,30,Sedan - Liability,Sport,"20,000 to 29,000",4,400,2,more than 4,7 years,31 to 35,External,no change,Liability
283,Honda,Male,Single,17,Sedan - All Perils,Sedan,"more than 69,000",10,400,2,none,new,16 to 17,External,no change,All Perils
284,Pontiac,Male,Married,38,Sedan - Liability,Sport,"20,000 to 29,000",4,400,2,1,7 years,36 to 40,External,no change,Liability
285,Toyota,Male,Married,28,Sedan - All Perils,Sedan,"less than 20,000",7,400,3,1,7 years,31 to 35,External,no change,All Perils
286,Honda,Male,Married,33,Sedan - All Perils,Sedan,"less than 20,000",8,400,4,none,6 years,31 to 35,External,no change,All Perils
287,Mazda,Female,Single,38,Sedan - Liability,Sport,"30,000 to 39,000",1,400,1,2 to 4,more than 7,36 to 40,External,no change,Liability
288,Honda,Male,Single,16,Sedan - Liability,Sport,"more than 69,000",11,400,4,2 to 4,new,16 to 17,External,no change,Liability
289,Pontiac,Male,Married,31,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,4,more than 4,7 years,31 to 35,External,no change,Collision
290,Chevrolet,Male,Married,36,Sedan - Liability,Sport,"30,000 to 39,000",1,400,2,more than 4,7 years,36 to 40,External,no change,Liability
291,Pontiac,Male,Married,27,Sedan - Liability,Sport,"30,000 to 39,000",2,400,4,none,7 years,31 to 35,External,no change,Liability
292,Toyota,Female,Married,60,Sedan - All Perils,Sedan,"less than 20,000",1,400,1,2 to 4,more than 7,51 to 65,External,no change,All Perils
293,Honda,Male,Married,72,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,none,7 years,over 65,External,no change,All Perils
294,Ford,Male,Married,44,Sedan - Liability,Sport,"60,000 to 69,000",5,400,2,more than 4,more than 7,36 to 40,External,no change,Liability
295,Honda,Male,Single,17,Sedan - Liability,Sport,"more than 69,000",11,400,1,2 to 4,new,16 to 17,External,4 to 8 years,Liability
296,Pontiac,Female,Single,77,Sedan - All Perils,Sedan,"less than 20,000",10,400,1,none,6 years,over 65,External,no change,All Perils
297,Honda,Male,Single,40,Sedan - Liability,Sport,"20,000 to 29,000",15,400,1,1,7 years,36 to 40,External,no change,Liability
298,Pontiac,Male,Single,43,Sedan - Collision,Sedan,"40,000 to 59,000",1,400,4,2 to 4,7 years,36 to 40,External,no change,Collision
299,Honda,Male,Married,33,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,4,1,6 years,31 to 35,External,no change,Collision
300,Chevrolet,Male,Married,36,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,3,1,7 years,36 to 40,External,no change,All Perils
301,Pontiac,Male,Single,21,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,3,2 to 4,3 years,26 to 30,External,no change,Collision
302,Honda,Female,Single,21,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,2,2 to 4,5 years,26 to 30,External,no change,Collision
303,Pontiac,Male,Single,33,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
304,Pontiac,Male,Married,75,Sedan - All Perils,Sedan,"more than 69,000",1,400,2,2 to 4,7 years,over 65,External,no change,All Perils
305,Toyota,Male,Single,34,Sedan - All Perils,Sedan,"20,000 to 29,000",7,400,1,2 to 4,7 years,31 to 35,External,no change,All Perils
306,VW,Male,Single,31,Sedan - All Perils,Sedan,"more than 69,000",9,400,2,2 to 4,5 years,31 to 35,External,no change,All Perils
307,Honda,Male,Married,31,Sedan - Liability,Sport,"20,000 to 29,000",2,500,4,2 to 4,6 years,31 to 35,External,2 to 3 years,Liability
308,Pontiac,Male,Married,47,Sedan - Liability,Sport,"20,000 to 29,000",5,400,4,more than 4,6 years,41 to 50,External,no change,Liability
309,Pontiac,Male,Married,46,Sedan - All Perils,Sedan,"less than 20,000",7,400,1,none,more than 7,41 to 50,External,under 6 months,All Perils
310,Honda,Male,Single,16,Sedan - All Perils,Sedan,"more than 69,000",6,400,3,1,new,16 to 17,External,no change,All Perils
311,Honda,Male,Married,35,Sedan - Liability,Sport,"20,000 to 29,000",10,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
312,Pontiac,Male,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,4,none,7 years,31 to 35,External,no change,Collision
313,Mercury,Female,Single,33,Sedan - Liability,Sport,"20,000 to 29,000",13,400,2,more than 4,6 years,31 to 35,External,no change,Liability
314,Honda,Male,Single,35,Sedan - Collision,Sedan,"30,000 to 39,000",15,400,3,none,7 years,31 to 35,External,no change,Collision
315,Pontiac,Female,Married,45,Sedan - Liability,Sport,"20,000 to 29,000",4,400,2,1,7 years,36 to 40,External,no change,Liability
316,Honda,Male,Single,17,Utility - All Perils,Utility,"more than 69,000",14,400,1,1,new,16 to 17,External,4 to 8 years,All Perils
317,Accura,Male,Single,50,Utility - All Perils,Utility,"more than 69,000",12,400,3,none,more than 7,41 to 50,External,no change,All Perils
318,Honda,Male,Single,17,Sedan - Collision,Sedan,"more than 69,000",16,400,4,1,new,16 to 17,External,no change,Collision
319,Pontiac,Male,Married,42,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,1,none,7 years,36 to 40,External,no change,Collision
320,Mazda,Female,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",2,400,1,2 to 4,5 years,31 to 35,External,no change,Liability
321,Ford,Male,Married,49,Sedan - Collision,Sedan,"more than 69,000",2,400,4,more than 4,more than 7,41 to 50,External,no change,Collision
322,Saturn,Male,Married,53,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,1,none,7 years,41 to 50,External,no change,All Perils
323,Chevrolet,Male,Married,32,Sedan - Collision,Sedan,"20,000 to 29,000",15,400,3,none,7 years,31 to 35,External,no change,Collision
324,Honda,Male,Married,52,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,2,none,more than 7,41 to 50,External,no change,All Perils
325,Honda,Male,Married,41,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,2,2 to 4,7 years,36 to 40,External,no change,All Perils
326,Mazda,Female,Single,36,Sedan - Liability,Sport,"30,000 to 39,000",1,400,2,2 to 4,7 years,36 to 40,External,no change,Liability
327,Honda,Female,Married,46,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,2,none,7 years,41 to 50,External,no change,Collision
328,Honda,Male,Married,32,Sedan - Collision,Sedan,"30,000 to 39,000",13,400,3,more than 4,7 years,31 to 35,External,no change,Collision
329,Toyota,Male,Married,32,Sedan - Collision,Sedan,"30,000 to 39,000",12,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
330,Chevrolet,Male,Married,31,Sedan - All Perils,Sedan,"20,000 to 29,000",3,400,3,1,6 years,31 to 35,External,no change,All Perils
331,Toyota,Male,Married,43,Sedan - Liability,Sport,"30,000 to 39,000",5,400,2,2 to 4,7 years,36 to 40,External,no change,Liability
332,Pontiac,Female,Married,30,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,1,2 to 4,6 years,31 to 35,External,no change,Collision
333,Toyota,Male,Married,60,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,4,2 to 4,more than 7,51 to 65,External,no change,Collision
334,VW,Male,Single,55,Sedan - All Perils,Sedan,"more than 69,000",11,400,3,none,more than 7,41 to 50,External,no change,All Perils
335,Honda,Male,Married,27,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,4,more than 4,7 years,31 to 35,External,no change,Collision
336,Toyota,Female,Married,29,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,2,none,7 years,31 to 35,External,no change,Collision
337,Honda,Male,Single,25,Sport - Collision,Sport,"more than 69,000",9,400,1,none,6 years,26 to 30,External,4 to 8 years,Collision
338,Toyota,Male,Married,38,Sedan - Liability,Sport,"more than 69,000",11,400,2,none,7 years,36 to 40,External,no change,Liability
339,Toyota,Male,Married,26,Sedan - Collision,Sedan,"30,000 to 39,000",12,400,4,none,6 years,31 to 35,External,no change,Collision
340,Pontiac,Male,Married,56,Sedan - All Perils,Sedan,"less than 20,000",6,400,4,1,more than 7,51 to 65,External,no change,All Perils
341,Pontiac,Male,Married,47,Sedan - Collision,Sedan,"more than 69,000",3,400,2,2 to 4,more than 7,41 to 50,External,no change,Collision
